date,info
2019-04-02 10:59:13.579000+00:00,"{""state"": ""online"", ""device"": ""0201A17A7A16""}"
2019-04-02 11:16:08.609000+00:00,"{""state"": ""online"", ""device"": ""0201A17A7A16""}"
2019-04-02 11:17:13.516000+00:00,"{""type"":""device_connected"",""message"":""0x00158d000247e764""}"
2019-04-02 11:17:16.927000+00:00,"{""temperature"":23.96,""linkquality"":115}"
2019-04-02 11:17:16.951000+00:00,"{""temperature"":23.96,""linkquality"":115,""humidity"":68.27}"
2019-04-02 11:17:16.952000+00:00,"{""temperature"":23.96,""linkquality"":115,""humidity"":68.27,""pressure"":1015}"
2019-04-02 11:17:20.382000+00:00,"{""temperature"":24.1,""linkquality"":102,""humidity"":68.27,""pressure"":1015}"
2019-04-02 11:17:20.404000+00:00,"{""temperature"":24.1,""linkquality"":102,""humidity"":61.87,""pressure"":1015}"
2019-04-02 11:17:20.405000+00:00,"{""temperature"":24.1,""linkquality"":102,""humidity"":61.87,""pressure"":1015}"
2019-04-02 11:17:36.825000+00:00,"{""temperature"":24.24,""linkquality"":94,""humidity"":61.87,""pressure"":1015}"
2019-04-02 11:17:36.847000+00:00,"{""temperature"":24.24,""linkquality"":94,""humidity"":55.24,""pressure"":1015}"
2019-04-02 11:17:39.857000+00:00,"{""type"":""pairing"",""message"":""device incoming""}"
2019-04-02 11:18:05.552000+00:00,"{""type"":""pairing"",""message"":""connecting with device""}"
2019-04-02 11:18:08.805000+00:00,"{""type"":""pairing"",""message"":""connecting with device""}"
2019-04-02 11:18:10.252000+00:00,"{""type"":""device_connected"",""message"":""0x00158d000232aa2d""}"
2019-04-02 11:18:10.259000+00:00,"{""contact"":true,""linkquality"":52}"
2019-04-02 11:18:10.424000+00:00,"{""contact"":false,""linkquality"":68}"
2019-04-02 11:18:12.752000+00:00,"{""contact"":true,""linkquality"":63}"
2019-04-02 11:18:13.142000+00:00,"{""contact"":false,""linkquality"":76}"
2019-04-02 11:18:15.197000+00:00,"{""contact"":true,""linkquality"":86}"
2019-04-02 11:18:21.532000+00:00,"{""type"":""pairing"",""message"":""device incoming""}"
2019-04-02 11:18:55.244000+00:00,"{""type"":""device_connected"",""message"":""0x00158d00024e74d6""}"
2019-04-02 11:19:17.210000+00:00,"{""illuminance"":134,""linkquality"":102}"
2019-04-02 11:19:17.244000+00:00,"{""illuminance"":134,""linkquality"":102,""occupancy"":true}"
2019-04-02 11:19:25.861000+00:00,"{""illuminance"":96,""linkquality"":102,""occupancy"":true}"
2019-04-02 11:19:25.872000+00:00,"{""illuminance"":96,""linkquality"":102,""occupancy"":true}"
2019-04-02 11:19:31.519000+00:00,"{""illuminance"":7,""linkquality"":86,""occupancy"":true}"
2019-04-02 11:19:31.529000+00:00,"{""illuminance"":7,""linkquality"":86,""occupancy"":true}"
2019-04-02 11:19:38.603000+00:00,"{""illuminance"":4,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:19:40.644000+00:00,"{""illuminance"":4,""linkquality"":55,""occupancy"":true}"
2019-04-02 11:19:42.909000+00:00,"{""illuminance"":3,""linkquality"":39,""occupancy"":true}"
2019-04-02 11:19:46.239000+00:00,"{""type"":""pairing"",""message"":""device incoming""}"
2019-04-02 11:19:47.455000+00:00,"{""illuminance"":5,""linkquality"":55,""occupancy"":true}"
2019-04-02 11:19:49.482000+00:00,"{""illuminance"":5,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:19:51.529000+00:00,"{""illuminance"":4,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:19:53.563000+00:00,"{""illuminance"":5,""linkquality"":60,""occupancy"":true}"
2019-04-02 11:19:55.600000+00:00,"{""illuminance"":5,""linkquality"":60,""occupancy"":true}"
2019-04-02 11:19:57.646000+00:00,"{""illuminance"":6,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:19:59.709000+00:00,"{""illuminance"":5,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:20:01.725000+00:00,"{""illuminance"":5,""linkquality"":57,""occupancy"":true}"
2019-04-02 11:20:03.766000+00:00,"{""illuminance"":6,""linkquality"":52,""occupancy"":true}"
2019-04-02 11:20:05.804000+00:00,"{""illuminance"":6,""linkquality"":55,""occupancy"":true}"
2019-04-02 11:20:07.849000+00:00,"{""illuminance"":4,""linkquality"":65,""occupancy"":true}"
2019-04-02 11:20:09.881000+00:00,"{""illuminance"":4,""linkquality"":63,""occupancy"":true}"
2019-04-02 11:20:11.927000+00:00,"{""illuminance"":3,""linkquality"":65,""occupancy"":true}"
2019-04-02 11:20:13.961000+00:00,"{""illuminance"":4,""linkquality"":70,""occupancy"":true}"
2019-04-02 11:20:16.001000+00:00,"{""illuminance"":3,""linkquality"":65,""occupancy"":true}"
2019-07-08 14:50:31.762000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-08 14:51:30.917000+00:00,"{""occupancy"":true,""linkquality"":63}"
2019-07-08 14:51:33.166000+00:00,"{""temperature"":26.68,""linkquality"":70}"
2019-07-08 14:51:33.205000+00:00,"{""temperature"":26.68,""linkquality"":70,""humidity"":81.89}"
